constraint,table,column,count_composite
basket_basket_vouchers_basket_id_voucher_id_0731eee2_uniq,basket_basket_vouchers,"basket_id,voucher_id",2
basket_basketattribute_basket_id_attribute_type_id_a6c168f8_uniq,basket_basketattribute,"basket_id,attribute_type_id",2
basket_id,referrals_referral,basket_id,1
catalogue_catalog_stock__catalog_id_stockrecord_i_f363d53b_uniq,catalogue_catalog_stock_records,"catalog_id,stockrecord_id",2
catalogue_productcategory_product_id_category_id_8f0dbfe2_uniq,catalogue_productcategory,"product_id,category_id",2
catalogue_productrecomme_primary_id_recommendatio_da1fdf43_uniq,catalogue_productrecommendation,"primary_id,recommendation_id",2
core_siteconfiguration_site_id_3124a87d_uniq,core_siteconfiguration,site_id,1
default_site_id,partner_partner,default_site_id,1
ecommerce_user_groups_user_id_group_id_2a9a583d_uniq,ecommerce_user_groups,"user_id,group_id",2
ecommerce_user_user_perm_user_id_permission_id_6d807de6_uniq,ecommerce_user_user_permissions,"user_id,permission_id",2
enterprise_contract_metadata_id,offer_conditionaloffer,enterprise_contract_metadata_id,1
import_state,payment_sdnfallbackmetadata,import_state,1
name,basket_basketattributetype,name,1
name,core_businessclient,name,1
name,core_ecommercefeaturerole,name,1
name,payment_paypalwebprofile,name,1
offer_codeassignmentnudg_email_template_id_code_u_cdd86ccf_uniq,offer_codeassignmentnudgeemails,"email_template_id,code,user_email",3
offer_id,voucher_voucherset,offer_id,1
offer_rangeproduct_range_id_product_id_c46b1be8_uniq,offer_rangeproduct,"range_id,product_id",2
order_id,referrals_referral,order_id,1
partner_partner_users_partner_id_user_id_9e5c0517_uniq,partner_partner_users,"partner_id,user_id",2
partner_stockrecord_partner_id_partner_sku_8441e010_uniq,partner_stockrecord,"partner_id,partner_sku",2
payment_sdncheckfailure__sdncheckfailure_id_produ_5e39885c_uniq,payment_sdncheckfailure_products,"sdncheckfailure_id,product_id",2
send_id,offer_offerassignmentemailattempt,send_id,1
shipping_orderanditemcha_orderanditemcharges_id_c_9f0c9c8f_uniq,shipping_orderanditemcharges_countries,"orderanditemcharges_id,country_id",2
shipping_weightbased_cou_weightbased_id_country_i_de8c5e42_uniq,shipping_weightbased_countries,"weightbased_id,country_id",2
short_code,partner_partner,short_code,1
username,ecommerce_user,username,1
voucher_couponvouchers_v_couponvouchers_id_vouche_390b5a38_uniq,voucher_couponvouchers_vouchers,"couponvouchers_id,voucher_id",2
voucher_orderlinevoucher_orderlinevouchers_id_vou_2a30647d_uniq,voucher_orderlinevouchers_vouchers,"orderlinevouchers_id,voucher_id",2
voucher_voucher_offers_voucher_id_conditionalof_01628a7f_uniq,voucher_voucher_offers,"voucher_id,conditionaloffer_id",2

